,Date,TIME,NB,SB,EB,WB
0,2013-02-12,00:00:00,,,20.0,36.0
1,2013-02-12,00:15:00,,,27.0,25.0
2,2013-02-12,00:30:00,,,13.0,18.0
3,2013-02-12,00:45:00,,,20.0,20.0
4,2013-02-12,01:00:00,,,16.0,18.0
5,2013-02-12,01:15:00,,,20.0,20.0
6,2013-02-12,01:30:00,,,14.0,22.0
7,2013-02-12,01:45:00,,,20.0,18.0
8,2013-02-12,02:00:00,,,4.0,20.0
9,2013-02-12,02:15:00,,,9.0,9.0
10,2013-02-12,02:30:00,,,13.0,11.0
11,2013-02-12,02:45:00,,,20.0,9.0
12,2013-02-12,03:00:00,,,7.0,9.0
13,2013-02-12,03:15:00,,,20.0,2.0
14,2013-02-12,03:30:00,,,11.0,9.0
15,2013-02-12,03:45:00,,,13.0,16.0
16,2013-02-12,04:00:00,,,14.0,7.0
17,2013-02-12,04:15:00,,,14.0,5.0
18,2013-02-12,04:30:00,,,23.0,13.0
19,2013-02-12,04:45:00,,,34.0,22.0
20,2013-02-12,05:00:00,,,45.0,31.0
21,2013-02-12,05:15:00,,,50.0,34.0
22,2013-02-12,05:30:00,,,92.0,45.0
23,2013-02-12,05:45:00,,,113.0,79.0
24,2013-02-12,06:00:00,,,117.0,108.0
25,2013-02-12,06:15:00,,,122.0,99.0
26,2013-02-12,06:30:00,,,193.0,122.0
27,2013-02-12,06:45:00,,,227.0,162.0
28,2013-02-12,07:00:00,,,263.0,175.0
29,2013-02-12,07:15:00,,,322.0,221.0
30,2013-02-12,07:30:00,,,337.0,225.0
31,2013-02-12,07:45:00,,,324.0,320.0
32,2013-02-12,08:00:00,,,313.0,288.0
33,2013-02-12,08:15:00,,,360.0,378.0
34,2013-02-12,08:30:00,,,360.0,279.0
35,2013-02-12,08:45:00,,,371.0,286.0
36,2013-02-12,09:00:00,,,313.0,259.0
37,2013-02-12,09:15:00,,,362.0,238.0
38,2013-02-12,09:30:00,,,308.0,229.0
39,2013-02-12,09:45:00,,,349.0,274.0
40,2013-02-12,10:00:00,,,342.0,283.0
41,2013-02-12,10:15:00,,,304.0,283.0
42,2013-02-12,10:30:00,,,364.0,283.0
43,2013-02-12,10:45:00,,,365.0,311.0
44,2013-02-12,11:00:00,,,329.0,373.0
45,2013-02-12,11:15:00,,,410.0,313.0
46,2013-02-12,11:30:00,,,376.0,401.0
47,2013-02-12,11:45:00,,,378.0,391.0
48,2013-02-12,12:00:00,,,425.0,376.0
49,2013-02-12,12:15:00,,,436.0,373.0
50,2013-02-12,12:30:00,,,407.0,360.0
51,2013-02-12,12:45:00,,,374.0,376.0
52,2013-02-12,13:00:00,,,380.0,398.0
53,2013-02-12,13:15:00,,,364.0,400.0
54,2013-02-12,13:30:00,,,391.0,376.0
55,2013-02-12,13:45:00,,,369.0,403.0
56,2013-02-12,14:00:00,,,403.0,382.0
57,2013-02-12,14:15:00,,,432.0,389.0
58,2013-02-12,14:30:00,,,416.0,434.0
59,2013-02-12,14:45:00,,,421.0,403.0
60,2013-02-12,15:00:00,,,344.0,392.0
61,2013-02-12,15:15:00,,,353.0,441.0
62,2013-02-12,15:30:00,,,374.0,427.0
63,2013-02-12,15:45:00,,,396.0,405.0
64,2013-02-12,16:00:00,,,410.0,418.0
65,2013-02-12,16:15:00,,,376.0,391.0
66,2013-02-12,16:30:00,,,358.0,452.0
67,2013-02-12,16:45:00,,,400.0,425.0
68,2013-02-12,17:00:00,,,364.0,446.0
69,2013-02-12,17:15:00,,,335.0,450.0
70,2013-02-12,17:30:00,,,342.0,455.0
71,2013-02-12,17:45:00,,,373.0,430.0
72,2013-02-12,18:00:00,,,387.0,342.0
73,2013-02-12,18:15:00,,,335.0,319.0
74,2013-02-12,18:30:00,,,335.0,290.0
75,2013-02-12,18:45:00,,,270.0,254.0
76,2013-02-12,19:00:00,,,261.0,245.0
77,2013-02-12,19:15:00,,,223.0,211.0
78,2013-02-12,19:30:00,,,203.0,216.0
79,2013-02-12,19:45:00,,,182.0,212.0
80,2013-02-12,20:00:00,,,198.0,229.0
81,2013-02-12,20:15:00,,,176.0,221.0
82,2013-02-12,20:30:00,,,200.0,175.0
83,2013-02-12,20:45:00,,,180.0,167.0
84,2013-02-12,21:00:00,,,171.0,158.0
85,2013-02-12,21:15:00,,,128.0,155.0
86,2013-02-12,21:30:00,,,176.0,133.0
87,2013-02-12,21:45:00,,,130.0,106.0
88,2013-02-12,22:00:00,,,95.0,104.0
89,2013-02-12,22:15:00,,,90.0,86.0
90,2013-02-12,22:30:00,,,74.0,77.0
91,2013-02-12,22:45:00,,,56.0,76.0
92,2013-02-12,23:00:00,,,50.0,74.0
93,2013-02-12,23:15:00,,,38.0,52.0
94,2013-02-12,23:30:00,,,29.0,36.0
95,2013-02-12,23:45:00,,,43.0,32.0
96,2013-02-13,00:00:00,,,14.0,36.0
97,2013-02-13,00:15:00,,,23.0,33.0
98,2013-02-13,00:30:00,,,14.0,31.0
99,2013-02-13,00:45:00,,,16.0,20.0
100,2013-02-13,01:00:00,,,11.0,16.0
101,2013-02-13,01:15:00,,,18.0,27.0
102,2013-02-13,01:30:00,,,11.0,22.0
103,2013-02-13,01:45:00,,,13.0,16.0
104,2013-02-13,02:00:00,,,7.0,7.0
105,2013-02-13,02:15:00,,,11.0,5.0
106,2013-02-13,02:30:00,,,14.0,5.0
107,2013-02-13,02:45:00,,,5.0,9.0
108,2013-02-13,03:00:00,,,11.0,9.0
109,2013-02-13,03:15:00,,,9.0,4.0
110,2013-02-13,03:30:00,,,7.0,9.0
111,2013-02-13,03:45:00,,,23.0,9.0
112,2013-02-13,04:00:00,,,9.0,9.0
113,2013-02-13,04:15:00,,,14.0,14.0
114,2013-02-13,04:30:00,,,27.0,13.0
115,2013-02-13,04:45:00,,,36.0,27.0
116,2013-02-13,05:00:00,,,43.0,36.0
117,2013-02-13,05:15:00,,,34.0,42.0
118,2013-02-13,05:30:00,,,85.0,45.0
119,2013-02-13,05:45:00,,,130.0,65.0
120,2013-02-13,06:00:00,,,101.0,101.0
121,2013-02-13,06:15:00,,,97.0,130.0
122,2013-02-13,06:30:00,,,184.0,116.0
123,2013-02-13,06:45:00,,,191.0,183.0
124,2013-02-13,07:00:00,,,223.0,145.0
125,2013-02-13,07:15:00,,,236.0,217.0
126,2013-02-13,07:30:00,,,297.0,223.0
127,2013-02-13,07:45:00,,,346.0,313.0
128,2013-02-13,08:00:00,,,313.0,308.0
129,2013-02-13,08:15:00,,,335.0,326.0
130,2013-02-13,08:30:00,,,369.0,290.0
131,2013-02-13,08:45:00,,,317.0,306.0
132,2013-02-13,09:00:00,,,329.0,235.0
133,2013-02-13,09:15:00,,,311.0,257.0
134,2013-02-13,09:30:00,,,356.0,279.0
135,2013-02-13,09:45:00,,,376.0,275.0
136,2013-02-13,10:00:00,,,342.0,288.0
137,2013-02-13,10:15:00,,,337.0,291.0
138,2013-02-13,10:30:00,,,340.0,282.0
139,2013-02-13,10:45:00,,,387.0,300.0
140,2013-02-13,11:00:00,,,365.0,308.0
141,2013-02-13,11:15:00,,,362.0,324.0
142,2013-02-13,11:30:00,,,385.0,344.0
143,2013-02-13,11:45:00,,,365.0,391.0
144,2013-02-13,12:00:00,,,391.0,447.0
145,2013-02-13,12:15:00,,,398.0,396.0
146,2013-02-13,12:30:00,,,401.0,405.0
147,2013-02-13,12:45:00,,,400.0,400.0
148,2013-02-13,13:00:00,,,374.0,411.0
149,2013-02-13,13:15:00,,,410.0,346.0
150,2013-02-13,13:30:00,,,380.0,367.0
151,2013-02-13,13:45:00,,,382.0,335.0
152,2013-02-13,14:00:00,,,416.0,413.0
153,2013-02-13,14:15:00,,,385.0,418.0
154,2013-02-13,14:30:00,,,414.0,398.0
155,2013-02-13,14:45:00,,,416.0,411.0
156,2013-02-13,15:00:00,,,364.0,433.0
157,2013-02-13,15:15:00,,,364.0,445.0
158,2013-02-13,15:30:00,,,382.0,434.0
159,2013-02-13,15:45:00,,,360.0,414.0
160,2013-02-13,16:00:00,,,382.0,469.0
161,2013-02-13,16:15:00,,,416.0,404.0
162,2013-02-13,16:30:00,,,374.0,378.0
163,2013-02-13,16:45:00,,,436.0,474.0
164,2013-02-13,17:00:00,,,400.0,456.0
165,2013-02-13,17:15:00,,,367.0,460.0
166,2013-02-13,17:30:00,,,364.0,445.0
167,2013-02-13,17:45:00,,,351.0,376.0
168,2013-02-13,18:00:00,,,344.0,328.0
169,2013-02-13,18:15:00,,,337.0,328.0
170,2013-02-13,18:30:00,,,304.0,346.0
171,2013-02-13,18:45:00,,,266.0,237.0
172,2013-02-13,19:00:00,,,283.0,268.0
173,2013-02-13,19:15:00,,,247.0,243.0
174,2013-02-13,19:30:00,,,250.0,250.0
175,2013-02-13,19:45:00,,,211.0,197.0
176,2013-02-13,20:00:00,,,193.0,212.0
177,2013-02-13,20:15:00,,,212.0,217.0
178,2013-02-13,20:30:00,,,164.0,170.0
179,2013-02-13,20:45:00,,,157.0,174.0
180,2013-02-13,21:00:00,,,137.0,161.0
181,2013-02-13,21:15:00,,,130.0,132.0
182,2013-02-13,21:30:00,,,106.0,159.0
183,2013-02-13,21:45:00,,,115.0,130.0
184,2013-02-13,22:00:00,,,113.0,94.0
185,2013-02-13,22:15:00,,,90.0,83.0
186,2013-02-13,22:30:00,,,94.0,83.0
187,2013-02-13,22:45:00,,,47.0,69.0
188,2013-02-13,23:00:00,,,77.0,54.0
189,2013-02-13,23:15:00,,,36.0,52.0
190,2013-02-13,23:30:00,,,25.0,42.0
191,2013-02-13,23:45:00,,,31.0,49.0
192,2013-02-14,00:00:00,,,24.0,48.0
193,2013-02-14,00:15:00,,,31.0,29.0
194,2013-02-14,00:30:00,,,15.0,14.0
195,2013-02-14,00:45:00,,,24.0,18.0
196,2013-02-14,01:00:00,,,13.0,23.0
197,2013-02-14,01:15:00,,,15.0,13.0
198,2013-02-14,01:30:00,,,18.0,14.0
199,2013-02-14,01:45:00,,,13.0,9.0
200,2013-02-14,02:00:00,,,9.0,18.0
201,2013-02-14,02:15:00,,,11.0,14.0
202,2013-02-14,02:30:00,,,18.0,13.0
203,2013-02-14,02:45:00,,,13.0,4.0
204,2013-02-14,03:00:00,,,9.0,11.0
205,2013-02-14,03:15:00,,,25.0,5.0
206,2013-02-14,03:30:00,,,25.0,5.0
207,2013-02-14,03:45:00,,,16.0,23.0
208,2013-02-14,04:00:00,,,11.0,5.0
209,2013-02-14,04:15:00,,,18.0,9.0
210,2013-02-14,04:30:00,,,25.0,11.0
211,2013-02-14,04:45:00,,,55.0,21.0
212,2013-02-14,05:00:00,,,35.0,25.0
213,2013-02-14,05:15:00,,,49.0,34.0
214,2013-02-14,05:30:00,,,86.0,57.0
215,2013-02-14,05:45:00,,,102.0,55.0
216,2013-02-14,06:00:00,,,100.0,79.0
217,2013-02-14,06:15:00,,,131.0,132.0
218,2013-02-14,06:30:00,,,191.0,129.0
219,2013-02-14,06:45:00,,,222.0,159.0
220,2013-02-14,07:00:00,,,246.0,165.0
221,2013-02-14,07:15:00,,,268.0,218.0
222,2013-02-14,07:30:00,,,302.0,206.0
223,2013-02-14,07:45:00,,,353.0,311.0
224,2013-02-14,08:00:00,,,329.0,362.0
225,2013-02-14,08:15:00,,,349.0,301.0
226,2013-02-14,08:30:00,,,386.0,303.0
227,2013-02-14,08:45:00,,,329.0,274.0
228,2013-02-14,09:00:00,,,349.0,222.0
229,2013-02-14,09:15:00,,,309.0,297.0
230,2013-02-14,09:30:00,,,348.0,240.0
231,2013-02-14,09:45:00,,,362.0,303.0
232,2013-02-14,10:00:00,,,340.0,252.0
233,2013-02-14,10:15:00,,,340.0,267.0
234,2013-02-14,10:30:00,,,339.0,319.0
235,2013-02-14,10:45:00,,,348.0,337.0
236,2013-02-14,11:00:00,,,384.0,322.0
237,2013-02-14,11:15:00,,,397.0,363.0
238,2013-02-14,11:30:00,,,393.0,363.0
239,2013-02-14,11:45:00,,,389.0,347.0
240,2013-02-14,12:00:00,,,430.0,424.0
241,2013-02-14,12:15:00,,,328.0,437.0
242,2013-02-14,12:30:00,,,415.0,383.0
243,2013-02-14,12:45:00,,,424.0,372.0
244,2013-02-14,13:00:00,,,411.0,397.0
245,2013-02-14,13:15:00,,,375.0,399.0
246,2013-02-14,13:30:00,,,348.0,374.0
247,2013-02-14,13:45:00,,,395.0,406.0
248,2013-02-14,14:00:00,,,404.0,367.0
249,2013-02-14,14:15:00,,,417.0,387.0
250,2013-02-14,14:30:00,,,408.0,345.0
251,2013-02-14,14:45:00,,,417.0,405.0
252,2013-02-14,15:00:00,,,377.0,422.0
253,2013-02-14,15:15:00,,,339.0,435.0
254,2013-02-14,15:30:00,,,364.0,417.0
255,2013-02-14,15:45:00,,,329.0,410.0
256,2013-02-14,16:00:00,,,439.0,474.0
257,2013-02-14,16:15:00,,,419.0,446.0
258,2013-02-14,16:30:00,,,362.0,453.0
259,2013-02-14,16:45:00,,,408.0,458.0
260,2013-02-14,17:00:00,,,369.0,464.0
261,2013-02-14,17:15:00,,,395.0,455.0
262,2013-02-14,17:30:00,,,431.0,401.0
263,2013-02-14,17:45:00,,,413.0,406.0
264,2013-02-14,18:00:00,,,375.0,396.0
265,2013-02-14,18:15:00,,,402.0,292.0
266,2013-02-14,18:30:00,,,329.0,331.0
267,2013-02-14,18:45:00,,,293.0,272.0
268,2013-02-14,19:00:00,,,300.0,270.0
269,2013-02-14,19:15:00,,,222.0,292.0
270,2013-02-14,19:30:00,,,224.0,202.0
271,2013-02-14,19:45:00,,,217.0,226.0
272,2013-02-14,20:00:00,,,258.0,208.0
273,2013-02-14,20:15:00,,,184.0,229.0
274,2013-02-14,20:30:00,,,198.0,206.0
275,2013-02-14,20:45:00,,,135.0,179.0
276,2013-02-14,21:00:00,,,153.0,188.0
277,2013-02-14,21:15:00,,,137.0,179.0
278,2013-02-14,21:30:00,,,115.0,136.0
279,2013-02-14,21:45:00,,,98.0,111.0
280,2013-02-14,22:00:00,,,86.0,115.0
281,2013-02-14,22:15:00,,,80.0,88.0
282,2013-02-14,22:30:00,,,49.0,64.0
283,2013-02-14,22:45:00,,,69.0,70.0
284,2013-02-14,23:00:00,,,60.0,57.0
285,2013-02-14,23:15:00,,,56.0,52.0
286,2013-02-14,23:30:00,,,46.0,50.0
287,2013-02-14,23:45:00,,,38.0,38.0
288,2013-02-15,00:00:00,,,,
289,2013-02-15,00:15:00,,,,
